,beer_info,search_name,beer_name
0,"BreweryTickers53(0)
1.1October 6, 2019
Every case has stale beers in them recently i pay good money for this product and am about to change brands i like sleeman
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
5",Carling Light,Molson Carling Light
1,"Cthulhu(1,060)
🇲🇭Marshall Islands
1.4August 28, 2015
Just found some ancient incomplete notes with numerical values. Awful pale lager.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
5",Carling Light,Molson Carling Light
2,"bonyteck(6)
🇨🇦Canada
0.5May 29, 2013
Golden yellow, lots of fizz but quick dissipation on the head. Generic taste that lacks character or defining qualities. Generic in every sense.-- rated via 'Find A Beer' for…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Carling Light,Molson Carling Light
3,"ThreeCats(1,136)
🇨🇿Czech Republic
1.9August 27, 2012
Not sure if this is right beer, mine says ""99 calorie bottle"" on it. But the abv fits...…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Carling Light,Molson Carling Light
4,"Metalchopz(5,260)
🇨🇦Cantley, Canada
2.0August 31, 2011
Originally rated July 2006. This light version of Carling beer pours a light golden colour with a decent white wet-fizzy head that stayed a minute or so. Heavily carbonated and…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
1
Overall
8",Carling Light,Molson Carling Light
5,"Papillon(425)
🇨🇦Ottawa, Canada
1.6April 5, 2009
341 mL Bottle. Pale straw yellow body with a fizzy, instantly dissipating white head. Aroma is faint but grassy-grainy skunky. The light peachy flavor followed by the hint of…
Show more
Aroma
1
Appearance
1
Flavor
4
Mouthfeel
3
Overall
7",Carling Light,Molson Carling Light
6,"beerlover79(35)
🇨🇦st. catharines, Canada
4.4March 1, 2009
i dont know why everyone is so critical of this beer, i find its one of the best tasting light beers on the market for the price. compared against coors or bud light its way better, it…
Show more
Aroma
5
Appearance
4
Flavor
10
Mouthfeel
5
Overall
20",Carling Light,Molson Carling Light
7,"Strangebrewer(1,804)
🇨🇦Chatham, Canada
0.5September 17, 2008
Light yellow colour, sweet corn smell, fizzy carbonation, bland generic value brand beer.
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Carling Light,Molson Carling Light
8,"Cartoonkhaki(1,380)
🇨🇦Brantford, Canada
1.2June 17, 2008
Found my rating for this one... it’s been awhile. Light yellow colour with puffy quick to go white head. Aroma of skunk and grassy grains and wet bar towel. Flavour of the same.…
Show more
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
6",Carling Light,Molson Carling Light
9,"DougShoemaker(3,146)
🇨🇦Toronto, Canada
1.2August 27, 2007
Smells like sweet hay, extremely pale yellow, small white head. Miniscule taste of hops then rice, extra light bodied, whew!
Aroma
3
Appearance
1
Flavor
2
Mouthfeel
1
Overall
5",Carling Light,Molson Carling Light
10,"mds(2,256)
🇨🇦Toronto, Canada
1.1March 15, 2007
Bottle. Pours a water consistency with a yellow tinge and a small white creamy head. Smells peachy sweet, grassy, with some faint cereal grains. Skunky corn flavour. Very light and…
Show more
Aroma
3
Appearance
1
Flavor
2
Mouthfeel
1
Overall
4",Carling Light,Molson Carling Light
11,"Radek Kliber(7,921)
🇵🇱Toronto (Can) Krotoszyn (Pol), Poland
1.3March 12, 2007
Bottle 341 ml…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
4",Carling Light,Molson Carling Light
12,"robinvboyer(6,183)
🇨🇦Sturgeon Falls, Canada
0.5March 2, 2007
all i can say is wow.....just when you thought it wouldnt get worse than molson canadian, or black label......SURPRISE!
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Carling Light,Molson Carling Light
13,"CanadaCam(109)
🇨🇦Canada
1.4August 17, 2006
A weaker version of Black lable. Nothing else really to say about this one.
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Carling Light,Molson Carling Light
14,"MrManning(2,009)
🇨🇦Hamilton, Canada
0.7July 8, 2006
Bottle- It’s actually hard to describe this one. Sparkling gold with short lived to non-existant white fizzy head. Corn, solvent, papery aroma with stale hops. Sweet corn water…
Show more
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
2",Carling Light,Molson Carling Light
15,"iambeer(255)
🇨🇦Canada
0.5May 14, 2006
Heavily carbonated water would explain this. Hops, malt where are they, taste is also non existent. Why did I bother? please don’t, waste your time on something else.
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Carling Light,Molson Carling Light
