,beer_info,search_name,beer_name
0,"Syfher(1,011)
🇧🇪Brussels, Belgium
3.0March 4, 2021
Bottle of 33cl, in a Pilsner glass; from the fridge.…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Kirin Ichiban,Kirin Ichiban
1,"Andreamuhr(6)
0.8February 21, 2021
Troppo gassata, tanto che si fa fatica a percepire il gusto (comunque amaro e poco aromatico)
BOTTLE
Aroma
2
Appearance
2
Flavor
1
Mouthfeel
2
Overall
1",Kirin Ichiban,Kirin Ichiban
2,"Jerseyislandbeer(1,860)
🇯🇪Jersey
2.7February 20, 2021
Old rating from 04-03-15 - 330ml bottle, pours clear golden with a small white foamy head. Aromas & tastes of corn, grain, herbal & sweet malt. Moderate body. Dry moderate…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Kirin Ichiban,Kirin Ichiban
3,"dunklermessias(1,238)
🇩🇪Germany
2.3February 16, 2021
Clear, pale golden color and a nice white head. Grainy, malty, less hoppy than expected.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
8",Kirin Ichiban,Kirin Ichiban
4,"sccp1910(506)
🇧🇷Brazil
3.1January 17, 2021
Uma larger encorpada, com leve amargor. Aroma bem discreto, coloração dourada e epuma branca. Bem saborosa e refrescante.
BOTTLE
Aroma
5
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Kirin Ichiban,Kirin Ichiban
5,"MBlessing(3,794)
🇩🇪Württemberg, Germany
2.4November 8, 2020
Goldgelbes Bier flacher schaum, im Geruch eher klassisch asiatisch Getreide malz, so auch im Geschmack, naja is ok
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Kirin Ichiban,Kirin Ichiban
6,"DrNosha(5,973)
🇩🇪Württemberg, Germany
2.3October 30, 2020
0,33l Flasche. Als „Special Edition“. Goldgelb , heller Schaum. Getreideduft. Antrunk ok. Getreide und Stroh.
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Kirin Ichiban,Kirin Ichiban
7,"maer_3(2)
🇨🇦Boucherville, Canada
2.8October 15, 2020
La Kirin Ichiban est une lager légère et rafraîchissante, l'amertume y est subtile. Bouteille 650 ml.
BOTTLE
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
12",Kirin Ichiban,Kirin Ichiban
8,"Gerbeer(5,574)
🇨🇦Vancouver, Canada
2.3September 29, 2020
341 ml bottle. Pours a clear bright amber with moderate foamy head.
Aromas of grain and soft fruit. Mild flavors follow same.…
Show more
BOTTLE
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
6",Kirin Ichiban,Kirin Ichiban
9,"naiveWong(25)
🇨🇳City 17, China
2.0September 13, 2020
Whole box on the Internet, 3 months aged, very pale, amber color. Bitterness with deep roast malt.
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
1
Overall
8",Kirin Ichiban,Kirin Ichiban
10,"BeardedAvenger(4,287)
🇬🇧New Haw, England
2.4August 6, 2020
Adding in my 300 Beers To Try ticks because I want to see how they impact my stats and some of them I will never see again. Will however re-rate them when practical.
TAP
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Kirin Ichiban,Kirin Ichiban
11,"BitterTamer20(387)
2.1August 10, 2020
Bevuta in bottiglia al Koj. Birra bionda.  Tipica lager senza pretese. Nulla da dire.
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Kirin Ichiban,Kirin Ichiban
12,"Pimot(1,188)
🇪🇸Castelló de la Plana, Spain
2.5June 28, 2020
Color dorado translúcido con espuma media blanca de retención media y buen residuo. Aroma a cereal blanco, lúpulos nobles con notas a frutas blancas. Sabor similar,…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Kirin Ichiban,Kirin Ichiban
13,"Luiz Felipe Figueiredo(44)
🇧🇷Rio de Janeiro, Brazil
2.4June 27, 2020
Aroma e gosto inicial de trigo
Cerveja moderada...
Cai bem com um japonês…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
2
Overall
11",Kirin Ichiban,Kirin Ichiban
14,"Woc(166)
🇧🇪Belgium
2.9May 23, 2020
It was OK. It´s a shame that it is no different from any other lager that I can buy. I don´t see the point then...
Aroma
6
Appearance
4
Flavor
5
Mouthfeel
2
Overall
12",Kirin Ichiban,Kirin Ichiban
15,"TomHendriksen(4,240)
🇳🇱Netherlands
3.1April 27, 2020
Blik gedeelt door Inoven. Het is een helder goudgeel bier met een volle witte schuimkraag. Het heeft een moutige geur. De smaak is moutig en zacht. Gewoon pils achtig.
CAN
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Kirin Ichiban,Kirin Ichiban
16,"Inoven(2,337)
🇳🇱Oirschot, Netherlands
3.2April 27, 2020
Flesje gedeeld met Tomhendriksen. 
Goudgeel helder bier met veel schuim. Weinig aroma maar in de verte een beetje hoppig. Smaak is fruitig en hoppig. Voor…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Kirin Ichiban,Kirin Ichiban
17,"Cerbier(1,036)
2.6March 19, 2020
0,33l Flasche. Hellgebes Bier mit kleiner Schaumkrone. Typisches Lagerbier, relativ soft im Geschmack.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Kirin Ichiban,Kirin Ichiban
18,"borowik(1,104)
🇵🇱Bytom, Poland
2.5March 5, 2020
Bardzo jasne, wręcz przeźroczyste, na początku wydaje się, że będzie goryczka ale zamiast tego mamy wielką pustkę, woda i nic poza tym.
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Kirin Ichiban,Kirin Ichiban
19,"ResinousMaestro55(268)
🇬🇧Hampton, England
2.5January 5, 2021
Japanese version of the standard easy-drinking lager. A little deeper in colour than expected - more amber than gold. Some depth to the flavours, but overall pretty average.
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
9",Kirin Ichiban,Kirin Ichiban
20,"PlasticSoul(179)
🇹🇷Turkey
1.8February 27, 2020
33 cl. bottle.

Clear, straw-coloured with white head. Classic lager aroma:…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
2
Mouthfeel
2
Overall
7",Kirin Ichiban,Kirin Ichiban
21,"FACambridge(958)
🇬🇧Chelmsford, England
1.2February 4, 2020
Aroma : Very lightly malted, light straw/grassy hop.  Taste : As nose, bitter-sweet balance is o.k. just about all that can said about this one...bland!
BOTTLE
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Kirin Ichiban,Kirin Ichiban
22,"vladeath(1,972)
🇷🇺Russia
2.9January 28, 2020
Bottle 0.33 beer is brewed at Weihenstephan

Golden straw color with a thin film of foam.…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Kirin Ichiban,Kirin Ichiban
23,"ophone(1,379)
🇱🇺Luxembourg
1.0January 22, 2020
Bought the bottle at the Asia Market in the station district of Luxembourg-City. The beer I'm drinking has been brewed in Bavaria.…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
1
Mouthfeel
1
Overall
2",Kirin Ichiban,Kirin Ichiban
24,"RobPhilipson(145)
4.0January 12, 2020
Excellent pale lager, one of the best I've had. Very refreshing light body with medium to strong carbonation. Would prefer a little more flavour, but as a refreshing lager at the end of…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Kirin Ichiban,Kirin Ichiban
25,"Beese(11,294)
🇬🇧Tooting, London, England
2.0January 8, 2020
500ml bottle from Tesco, Watford and drunk on 15/08/2006.  Pale golden lager.  Some cereal notes in the aroma.  Very light body.  I think this was brewed under licence in the UK.
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Kirin Ichiban,Kirin Ichiban
